id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title/ca,body/ca,state,reference,answer/ca,answer/es,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
193,159.0, Patrimoni,Patrimonio,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Centre d'Interpretació del Patrimoni Cultural de Calafell.,"L'objectiu d'aquesta proposta és la dinamització cultural del patrimoni historic de Calafell. El Centre d'Interpretació  ubicat al nucli del Poble generaria un increment del turisme cultural de qualitat i a la vegada  ampliaria l'oferta d'oci del Municipi.
Fer difusió i posar en valor el nostre patrimoni és important per revaloritzar el llegat que deixarem a futures generacions i convertir Calafell un Municipi d'interès cultural.",rejected,CLF-PROP-2019-09-193,"<p>La inversió supera els 500,000 €</p>",,12,1,Eva Peribañez Solé,0,0,28,2019-09-14 09:00:02 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/193,,,False,,
192,165.0,Espai Públic,Espacio Público,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Parques y jardines ,"Mejorar los jardines y los parques de TODO el municipio. Crear pistas multideportivas y los parques infantiles mejorarlos a nivel manipulativo, atractivo y SOBRE TODO ACCESIBLE PARA TODOS incluyendo áreas para minusválidos, mesas de picnic, zona para animales,...  Y Crear una brigada específica para el mantenimiento de dichas zonas.",accepted,CLF-PROP-2019-09-192,<p>S'ha de redactar un pla d'adaptació de les àrees de joc infantil i dels Parcs i Jardins municipals</p>,,16,1,Jesús Medina,0,0,30,2019-09-14 08:33:56 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/192,,,False,,
191,154.0,Parcs i Jardins Sostenibles,Parques y Jardines Sostenibles,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Instal·lació pèrgoles parc de la Sínia,"Instal·lar alguna pèrgola o sistema similar a determinades zones del parc de la Sínia per tal que sigui aprofitable a les hores de més sol a l'estiu, per exemple, a la zona de jocs infantils.
La proposta es podria fer extensiva també a altres espais de la població.",accepted,CLF-PROP-2019-09-191,<p>Permet col·locar fins a 6 pérgoles </p>,,6,0,,0,0,31,2019-09-14 08:06:17 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/191,,,False,,
190,159.0, Patrimoni,Patrimonio,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Museïtzació casa passatge Sant Antoni-Pg Maritim,"Rehabilitació casa i jardí situats  al passeig marítim cantonada passatge Sant Antoni.  Es tracta d’una casa antiga de les germanes Reus, de propietat actual de l’Ajuntament. Està en un estat deplorable de manteniment i necessita una rehabilitació. Una proposta seria la seva museïtzació convertint-la en un espai de visita pels calafellencs i turistes de Calafell on es mostrin les antigues cases de pescadors del passeig Marítim.",accepted,CLF-PROP-2019-09-190,"<p>Segons pressupost de l'any passat. S'han afegit honorais projecte, direcció i coordinació Seg. I Salut</p>",,3,0,,0,0,27,2019-09-14 04:56:56 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/190,,,False,,
189,165.0,Espai Públic,Espacio Público,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Remodelació espai menjador INS Camí de Mar,"L'espai de l'antic menjador de l'INS Camí de Mar, ara s'utilitza com a espai pedagògic.
La remodelació milloraria aquest espai per a diferents usos, per l'alumnat de l'institut.",rejected,CLF-PROP-2019-09-189,<p>Aixó es competéncia de la Generalitat de Catalunya</p>,,11,0,,0,0,27,2019-09-13 21:07:46 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/189,,,False,,
188,165.0,Espai Públic,Espacio Público,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Calafell composta,"Implantar compostadoras en espacios clave: suelo municipal en desuso etc. Adaptar contenedores y papeleras. Aplicar gestión ecológica de todo residuo a fin de su provecho local, y fomento de buenas praxis con amplios beneficios a corto plazo; olores, plagas, limpieza general. Restos de desbroce, basura orgánica de hogares y negocios. Promover (incluso con incentivos) una mejor separación de basura con el consiguiente ahorro y repercusión económica para todos. Disponible proyecto completo. Salut!",rejected,CLF-PROP-2019-09-188,"<p>Es descarta donat que estem&nbsp;treballant en un nou dimensionament del servei de recollida de residus municipals. Els nou servei es plantejarà amb criteris d'economia circular : segur que contemplarà moltes de les propostes que ens indiquen , però el 2020 no és any d'implantació.</p>",,10,1,Montserrat Torres,1,1,27,2019-09-13 20:25:33 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/188,,,False,,
187,165.0,Espai Públic,Espacio Público,4.0,Segur ,Segur ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,"Escola Vilamar, prou de barracons.",Cal començar a transformar els barracons en una escola completa.,rejected,CLF-PROP-2019-09-187,<p>Aixó es competéncia de la Generalitat de Catalunya</p>,,4,0,,0,0,27,2019-09-13 15:38:54 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/187,,,False,,
186,156.0,Pistes Esportives,Pistas Deportivas,3.0,Calafell ,Calafell ,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Espai fixe per entrenar els nens del club gimnàstica Calafell,El club gimnàstica Calafell demana unes instal·lacions fixes esportives per poder dur els seus entrenaments a Calafell.,rejected,CLF-PROP-2019-09-186,<p>El Gimnas ja te projecte i s'ubicarà al costat de la pista del Castell</p>,,45,0,,3,0,31,2019-09-13 13:57:37 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/186,,,False,,
185,,,,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Programació d'arts escèniques al teatre auditori Joan Colet,"Aprofitant la remodelació del teatre auditori Joan Colet, estaria bé poder disposar d'una programació d'arts escèniques que durant l'any portés espectacles de teatre i musicals a Calafell, tal com fan altres municipis del territori. La proposta se centra especialment en el públic jove i adult, ja que la programació teatral per la canalla la cobreix amb escreix i qualitat La Xarxa.",withdrawn,CLF-PROP-2019-09-185,,,0,0,,0,0,27,2019-09-13 12:47:14 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/185,,,False,,
184,159.0, Patrimoni,Patrimonio,,,,21,https://decidim.calafell.cat/processes/pressupostos-participatius-2020?participatory_process_slug=pressupostos-participatius-2020,95,Placas Fotovoltaicas en edificios del Ajuntament,Propuesta e instalación de placas fovoltaicas en todas las dependencias del Ajuntament,accepted,CLF-PROP-2019-09-184,<p>Es proposa la redacció d'una auditoria per determinar el potencial fotovoltaic dels edificis municipals i l'execució d'una instal·lació fotovoltaica pilot per autocunsum en una de les dependències municipals de Calafell amb una capacitat de 5 kW</p>,,4,0,,0,0,28,2019-09-13 11:46:23 UTC,https://decidim.calafell.cat/processes/pressupostos-participatius-2020/f/95/proposals/184,,,False,,
