Instance	PB process url	PB process id	Country	Scope	Topic
Vilanova i la Geltrú	http://participa.vilanova.cat/processes/pressupostosparticipatius2018	10	Catalonia / Spain	City	General
Vilanova i la Geltrú	http://participa.vilanova.cat/processes/pressupostosparticipatius2019	13	Catalonia / Spain	City	General
Helsinki	https://omastadi.hel.fi/processes/osbu-2019	31	Finland	City	General
Helsinki	https://omastadi.hel.fi/processes/osbu-2020	33	Finland	City	General
Vantaa	https://osallistu.vantaa.fi/processes/meidanmartsari	2	Finland	Neighborhood	General
Angers	https://ecrivons.angers.fr/processes/BP2020	44	France	City	General
Angers	https://ecrivons.angers.fr/processes/BP2019	37	France	City	General
Angers	https://ecrivons.angers.fr/processes/BP2018	7	France	City	General
Loiret	https://atelierdevosidees.loiret.fr/processes/etangdelavallee	11	France	Region	Environment
Loiret	https://atelierdevosidees.loiret.fr/processes/budgetcollegiens	12	France	Region	Environment
Loiret	https://atelierdevosidees.loiret.fr/processes/budget-participatif-des-parcs	0	France	Region	Environment
Nanterre	https://participez.nanterre.fr/processes/budget-participatif-2021	25	France	City	General
Outreau	http://www.budgetparticipatif-outreau.fr/processes/bp2	2	France	City	General
Roubaix	https://budgetparticipatif.ville-roubaix.fr/processes/bpr2020	5	France	City	General
Roubaix	https://budgetparticipatif.ville-roubaix.fr/processes/pcp2019	3	France	City	General
Roubaix	https://budgetparticipatif.ville-roubaix.fr/processes/bpe2019	2	France	Neighborhood	General
Saint-Jean de Braye	https://budgetparticipatif.saintjeandebraye.fr/processes/bp	1	France	City	General
Saint-Jean de Braye	https://budgetparticipatif.saintjeandebraye.fr/processes/bp2019-2020	2	France	City	General
Toulouse	https://jeparticipe.toulouse.fr/processes/bp2019	47	France	City	General
Touraine	https://participation.touraine.fr/processes/bpcitoyen	2	France	Region	General
Université de Bordeaux	https://participation.u-bordeaux.fr/processes/bpe	0	France	University	General
Val-de-Marne	https://participer.valdemarne.fr/processes/budgetcitoyen	4	France	Region	General
